"","Subject","class","dis_sum","angle_sum"
"1","C02","experiment",0.385400944358771,-44.8778491881804
"2","C03","experiment",0.377626827654638,-47.4200281568613
"3","C04","experiment",0.572972783705285,-114.101395269932
"4","C05","experiment",0.43420967184826,-55.4964179246541
"5","C06","experiment",0.408324711729738,-19.4504961723478
"6","C07","experiment",0.404736293827006,-45.4630342700635
"7","C08","experiment",0.497428150989255,-43.9621638431319
"8","C09","experiment",0.39695474245384,-42.9706337550522
"9","C10","experiment",0.514311979187018,-30.8323997700174
"10","C11","experiment",0.512823843052215,-98.5097004936539
"11","C12","experiment",0.389257946286211,-25.2106192672736
"12","C13","experiment",0.404517564298152,-44.8045459476774
"13","C14","experiment",0.463977981981443,-45.3237667904358
"14","C15","experiment",0.639860064313048,135.447881483511
"15","C16","experiment",0.608366824054797,140.652371274856
"16","C17","experiment",0.556661320504574,143.886655954651
"17","C18","experiment",0.401141625133397,-45.6450278673841
"18","C19","experiment",0.666382859001045,-140.480986166183
"19","C20","experiment",0.599063726067599,142.235969569745
"20","C21","experiment",0.485619977345711,-86.0346088800356
"21","C22","experiment",1.06259967400573,-67.4262309696492
"22","C23","experiment",0.597510075224891,111.353604845772
"23","C24","experiment",0.913072456800212,-114.227804086997
"24","C28","control",0.750086525210559,-62.8647456114488
"25","C29","control",0.70126471369249,-109.154217802113
"26","C30","control",0.610204771375492,-90.9753599857539
"27","C31","control",0.753753078190902,-115.3822845036
"28","C32","control",0.496671312246826,-47.8944836261251
"29","C33","control",0.614848621405815,-123.512706558823
"30","C34","control",0.762090367562925,-56.8283301334302
"31","C35","control",0.634054911552202,-80.1973053521656
"32","C36","control",0.748072005867702,-100.059325908609
"33","C37","control",0.700680985370354,-60.5399658437648
"34","C38","control",0.678189337209095,-113.546651793537
"35","C41","control",0.699781180663874,124.589816522071
"36","C42","control",0.53986703783218,-129.008558122112
"37","C43","control",0.654557615727787,178.410535894793
"38","C44","control",0.689739214068049,-83.5065047011293
"39","C45","control",0.752494905615326,-107.29538061368
"40","C46","control",0.612118649153392,-132.927281441632
"41","C47","control",0.748812202967471,-113.711798822237
"42","C48","control",0.700428248344864,-90.8039692514406
"43","C49","experiment",0.616964775114529,125.372410994469
"44","C50","control",0.771791055091729,-168.762052016164
"45","C51","control",0.478890766653544,7.105427357601e-15
"46","C52","control",0.708705110916161,-44.942155017063
"47","C57","experiment",1.49909940556343,136.363935244214
"48","C58","experiment",0.574038321671637,-107.354796536071
"49","C60","experiment",0.388342243192973,-46.4957580203456
